utc,tke
2016-01-02 08:20:00,1.88428
2016-01-02 08:40:00,1.84417
2016-01-02 09:00:00,1.84032
2016-01-02 09:20:00,1.85362
2016-01-02 09:40:00,1.83582
2016-01-02 10:00:00,1.83479
2016-01-02 10:20:00,1.84194
2016-01-02 10:40:00,1.83181
2016-01-02 11:00:00,1.79679
2016-01-02 11:20:00,1.75849
2016-01-02 11:40:00,1.72161
2016-01-02 12:00:00,1.68225
2016-01-02 12:20:00,1.65015
2016-01-02 12:40:00,1.60681
2016-01-02 13:00:00,1.56638
2016-01-02 13:20:00,1.56131
2016-01-02 13:40:00,1.63304
2016-01-02 14:00:00,1.70977
2016-01-02 14:20:00,1.72225
2016-01-02 14:40:00,1.68890
2016-01-02 15:00:00,1.60476
2016-01-02 15:20:00,1.51626
2016-01-02 15:40:00,1.45753
2016-01-02 16:00:00,1.40971
2016-01-02 16:20:00,1.35570
2016-01-02 16:40:00,1.34937
2016-01-02 17:00:00,1.34661
2016-01-02 17:20:00,1.33603
2016-01-02 17:40:00,1.34078
2016-01-02 18:00:00,1.34651
2016-01-02 18:20:00,1.32955
2016-01-02 18:40:00,1.32513
2016-01-02 19:00:00,1.30645
2016-01-02 19:20:00,1.31887
2016-01-02 19:40:00,1.32684
2016-01-02 20:00:00,1.32854
2016-01-02 20:20:00,1.31551
2016-01-02 20:40:00,1.27605
2016-01-02 21:00:00,1.21837
2016-01-02 21:20:00,1.13066
2016-01-02 21:40:00,1.07555
2016-01-02 22:00:00,0.935007
2016-01-02 22:20:00,0.797598
2016-01-02 22:40:00,0.759245
2016-01-02 23:00:00,0.738734
2016-01-02 23:20:00,0.753701
2016-01-02 23:40:00,0.796994
2016-01-03 00:00:00,0.851054
2016-01-03 00:20:00,0.913605
2016-01-03 00:40:00,0.944613
2016-01-03 01:00:00,0.952396
2016-01-03 01:20:00,0.948285
2016-01-03 01:40:00,0.952412
2016-01-03 02:00:00,0.960313
2016-01-03 02:20:00,0.973907
2016-01-03 02:40:00,0.999039
2016-01-03 03:00:00,1.03644
2016-01-03 03:20:00,1.07151
2016-01-03 03:40:00,1.12265
2016-01-03 04:00:00,1.17284
2016-01-03 04:20:00,1.21919
2016-01-03 04:40:00,1.25992
2016-01-03 05:00:00,1.29702
2016-01-03 05:20:00,1.33585
2016-01-03 05:40:00,1.38435
2016-01-03 06:00:00,1.43966
2016-01-03 06:20:00,1.48003
2016-01-03 06:40:00,1.49896
2016-01-03 07:00:00,1.66021
2016-01-03 07:20:00,1.71740
2016-01-03 07:40:00,1.75057
2016-01-03 08:00:00,1.77104
2016-01-03 08:20:00,1.73597
2016-01-03 08:40:00,1.62635
2016-01-03 09:00:00,1.52929
2016-01-03 09:20:00,1.50430
2016-01-03 09:40:00,1.49787
2016-01-03 10:00:00,1.42677
2016-01-03 10:20:00,1.32434
2016-01-03 10:40:00,1.28471
2016-01-03 11:00:00,1.28421
2016-01-03 11:20:00,1.27140
2016-01-03 11:40:00,1.24498
2016-01-03 12:00:00,1.20008
2016-01-03 12:20:00,1.13441
2016-01-03 12:40:00,1.04828
2016-01-03 13:00:00,0.987090
2016-01-03 13:20:00,0.956861
2016-01-03 13:40:00,0.941882
2016-01-03 14:00:00,0.939523
2016-01-03 14:20:00,0.950017
2016-01-03 14:40:00,0.979062
2016-01-03 15:00:00,0.987774
2016-01-03 15:20:00,0.966468
2016-01-03 15:40:00,0.972077
2016-01-03 16:00:00,1.01388
2016-01-03 16:20:00,1.02770
2016-01-03 16:40:00,1.04823
2016-01-03 17:00:00,1.04960
2016-01-03 17:20:00,1.05852
2016-01-03 17:40:00,1.04921
2016-01-03 18:00:00,0.875492
2016-01-03 18:20:00,0.805431
2016-01-03 18:40:00,0.785758
2016-01-03 19:00:00,0.796767
2016-01-03 19:20:00,0.756761
2016-01-03 19:40:00,0.777211
2016-01-03 20:00:00,0.754522
2016-01-03 20:20:00,0.776928
2016-01-03 20:40:00,0.815948
2016-01-03 21:00:00,0.843997
2016-01-03 21:20:00,0.871663
2016-01-03 21:40:00,0.927890
2016-01-03 22:00:00,0.931613
2016-01-03 22:20:00,0.994969
2016-01-03 22:40:00,1.01366
2016-01-03 23:00:00,1.02163
