,VWRF,UWRF,WRF_WS
2016-01-03 23:00:00,-4.019336700439453,2.174060821533203,4.569639807164799
2016-01-04 00:00:00,-4.690912246704102,1.8103621006011963,5.028127747141245
2016-01-04 01:00:00,-4.338259696960449,2.0890631675720215,4.815047467717989
2016-01-04 02:00:00,-4.132648468017578,2.4256956577301025,4.791949789400835
2016-01-04 03:00:00,-2.9723129272460938,2.4432692527770996,3.847623783459112
2016-01-04 04:00:00,-3.0503993034362793,2.5328071117401123,3.9648515452266087
2016-01-04 05:00:00,-2.906805992126465,2.406477928161621,3.7736795166775052
2016-01-04 06:00:00,-3.0464560985565186,2.6357533931732178,4.028410444586839
2016-01-04 07:00:00,-3.151553153991699,2.6528725624084473,4.119468426243195
2016-01-04 08:00:00,-3.3306422233581543,2.7706351280212402,4.332389252207311
