,Enhanc_FM(ppm)
21/01/2016 20:00,2.451157425
21/01/2016 21:00,1.910205933
21/01/2016 22:00,2.989283753
21/01/2016 23:00,3.205741001
22/01/2016 00:00,1.753853832
22/01/2016 01:00,2.051052293
22/01/2016 02:00,1.801841672
22/01/2016 03:00,1.330984294
22/01/2016 04:00,1.018238537
22/01/2016 05:00,0.755586194
22/01/2016 06:00,0.639991669
22/01/2016 07:00,0.603371811
22/01/2016 08:00,0.590139013
22/01/2016 09:00,0.529549671
22/01/2016 10:00,0.636116
22/01/2016 11:00,0.99569519
22/01/2016 12:00,1.654913404
22/01/2016 13:00,1.724026978
22/01/2016 14:00,1.311557412
22/01/2016 15:00,1.192902631
22/01/2016 16:00,1.421857101
22/01/2016 17:00,2.255125342
22/01/2016 18:00,2.697042397
22/01/2016 19:00,3.38764966
22/01/2016 20:00,4.007698348
22/01/2016 21:00,3.802064571
22/01/2016 22:00,4.717040927
22/01/2016 23:00,3.572595681
23/01/2016 00:00,2.466515155
23/01/2016 01:00,2.143405893
23/01/2016 02:00,1.534124476
23/01/2016 03:00,1.283937954
23/01/2016 04:00,1.313035341
23/01/2016 05:00,1.237443938
23/01/2016 06:00,1.112784713
23/01/2016 07:00,1.114502361
23/01/2016 08:00,1.134972809
23/01/2016 09:00,1.294153703
23/01/2016 10:00,1.885761541
23/01/2016 11:00,4.473750516
23/01/2016 12:00,11.33595143
23/01/2016 13:00,11.63469498
23/01/2016 14:00,9.721433304
23/01/2016 15:00,7.930086657
23/01/2016 16:00,5.408458561
23/01/2016 17:00,3.258464112
23/01/2016 18:00,4.011171662
23/01/2016 19:00,5.630168811
23/01/2016 20:00,7.252808229
23/01/2016 21:00,5.392251426
23/01/2016 22:00,4.715440507
23/01/2016 23:00,5.295387976
24/01/2016 00:00,6.279450777
24/01/2016 01:00,5.854315166
24/01/2016 02:00,6.33139336
24/01/2016 03:00,7.020892697
24/01/2016 04:00,6.885095098
24/01/2016 05:00,11.20729106
24/01/2016 06:00,14.77043662
24/01/2016 07:00,15.19498159
24/01/2016 08:00,34.85435213
24/01/2016 09:00,49.75721507
24/01/2016 10:00,12.12345788
24/01/2016 11:00,7.718451328
24/01/2016 12:00,7.786837661
24/01/2016 13:00,9.305100681
24/01/2016 14:00,7.916059252
24/01/2016 15:00,5.538186886
24/01/2016 16:00,4.795523798
24/01/2016 17:00,4.021028953
24/01/2016 18:00,3.837806871
24/01/2016 19:00,3.060013985
