station,valid,drct,sped
IND,2016-01-12 01:21,180.00,12.65
IND,2016-01-12 01:39,180.00,11.50
IND,2016-01-12 01:54,180.00,13.80
IND,2016-01-12 02:54,200.00,16.10
IND,2016-01-12 03:19,200.00,18.40
IND,2016-01-12 03:54,210.00,16.10
IND,2016-01-12 04:54,210.00,19.55
IND,2016-01-12 05:54,230.00,17.25
IND,2016-01-12 06:54,210.00,17.25
IND,2016-01-12 07:30,220.00,20.70
IND,2016-01-12 07:51,230.00,21.85
IND,2016-01-12 07:54,240.00,20.70
IND,2016-01-12 08:06,240.00,20.70
IND,2016-01-12 08:18,260.00,21.85
IND,2016-01-12 08:27,250.00,17.25
IND,2016-01-12 08:30,250.00,19.55
IND,2016-01-12 08:35,260.00,20.70
IND,2016-01-12 08:54,250.00,24.15
IND,2016-01-12 09:06,260.00,19.55
IND,2016-01-12 09:35,260.00,16.10
IND,2016-01-12 09:54,260.00,25.30
IND,2016-01-12 10:41,270.00,13.80
IND,2016-01-12 10:54,280.00,12.65
IND,2016-01-12 11:21,260.00,9.20
IND,2016-01-12 11:24,250.00,9.20
IND,2016-01-12 11:29,250.00,10.35
IND,2016-01-12 11:54,250.00,13.80
IND,2016-01-12 12:11,250.00,9.20
IND,2016-01-12 12:32,230.00,12.65
IND,2016-01-12 12:44,230.00,17.25
IND,2016-01-12 12:54,230.00,17.25
IND,2016-01-12 13:41,240.00,17.25
IND,2016-01-12 13:52,250.00,17.25
IND,2016-01-12 13:54,260.00,21.85
IND,2016-01-12 13:58,280.00,28.75
IND,2016-01-12 14:11,290.00,19.55
IND,2016-01-12 14:41,280.00,28.75
IND,2016-01-12 14:49,300.00,28.75
IND,2016-01-12 14:54,320.00,31.05
IND,2016-01-12 15:13,300.00,24.15
IND,2016-01-12 15:54,290.00,32.20
IND,2016-01-12 16:07,290.00,27.60
IND,2016-01-12 16:54,300.00,20.70
IND,2016-01-12 17:54,290.00,23.00
IND,2016-01-12 18:54,300.00,23.00
IND,2016-01-12 19:54,290.00,20.70
IND,2016-01-12 20:54,270.00,18.40
IND,2016-01-12 21:54,280.00,11.50
IND,2016-01-12 22:54,290.00,8.05
IND,2016-01-12 23:54,290.00,5.75
IND,2016-01-13 00:54,260.00,6.90
IND,2016-01-13 01:54,290.00,8.05
IND,2016-01-13 02:54,280.00,5.75
IND,2016-01-13 03:54,250.00,6.90
IND,2016-01-13 04:54,240.00,10.35
IND,2016-01-13 05:54,280.00,5.75
IND,2016-01-13 06:54,280.00,6.90
IND,2016-01-13 07:54,260.00,5.75
IND,2016-01-13 08:54,250.00,4.60
IND,2016-01-13 09:54,240.00,6.90
IND,2016-01-13 10:54,260.00,6.90
IND,2016-01-13 11:54,280.00,3.45
IND,2016-01-13 12:54,200.00,5.75
IND,2016-01-13 13:54,200.00,6.90
IND,2016-01-13 14:54,210.00,8.05
IND,2016-01-13 15:54,200.00,8.05
IND,2016-01-13 16:54,200.00,10.35
IND,2016-01-13 17:54,180.00,10.35
IND,2016-01-13 18:54,170.00,12.65
IND,2016-01-13 19:54,180.00,11.50
IND,2016-01-13 20:54,190.00,13.80
IND,2016-01-13 21:54,170.00,13.80
IND,2016-01-13 22:54,170.00,13.80
IND,2016-01-13 23:54,190.00,6.90
IND,2016-01-14 00:54,190.00,5.75
IND,2016-01-14 01:54,200.00,12.65
IND,2016-01-14 02:54,210.00,10.35
IND,2016-01-14 03:54,230.00,11.50
IND,2016-01-14 04:54,220.00,13.80
IND,2016-01-14 05:54,220.00,12.65
IND,2016-01-14 06:54,220.00,11.50
IND,2016-01-14 07:54,220.00,10.35
IND,2016-01-14 08:54,210.00,9.20
IND,2016-01-14 09:54,200.00,10.35
IND,2016-01-14 10:54,210.00,6.90
IND,2016-01-14 11:54,200.00,8.05
IND,2016-01-14 12:54,210.00,4.60
IND,2016-01-14 13:54,180.00,8.05
IND,2016-01-14 14:54,190.00,9.20
IND,2016-01-14 15:54,200.00,10.35
IND,2016-01-14 16:54,200.00,9.20
IND,2016-01-14 17:54,180.00,11.50
IND,2016-01-14 18:54,190.00,11.50
IND,2016-01-14 19:54,190.00,12.65
IND,2016-01-14 20:54,190.00,13.80
IND,2016-01-14 21:54,200.00,13.80
IND,2016-01-14 22:54,190.00,12.65
IND,2016-01-14 23:54,180.00,8.05
IND,2016-01-15 00:54,180.00,10.35
IND,2016-01-15 01:54,190.00,10.35
IND,2016-01-15 02:54,190.00,11.50
IND,2016-01-15 03:54,190.00,16.10
IND,2016-01-15 04:54,190.00,10.35
IND,2016-01-15 05:54,180.00,10.35
IND,2016-01-15 06:54,190.00,10.35
IND,2016-01-15 07:54,200.00,11.50
IND,2016-01-15 08:54,190.00,16.10
IND,2016-01-15 09:54,190.00,13.80
IND,2016-01-15 10:54,180.00,9.20
IND,2016-01-15 11:42,160.00,8.05
IND,2016-01-15 11:54,140.00,5.75
IND,2016-01-15 12:54,130.00,9.20
IND,2016-01-15 13:54,150.00,11.50
IND,2016-01-15 14:54,170.00,12.65
IND,2016-01-15 15:54,170.00,13.80
IND,2016-01-15 16:54,180.00,19.55
IND,2016-01-15 17:54,180.00,14.95
IND,2016-01-15 18:54,190.00,10.35
IND,2016-01-15 19:54,200.00,10.35
IND,2016-01-15 20:54,210.00,9.20
IND,2016-01-15 21:54,230.00,10.35
IND,2016-01-15 22:54,230.00,10.35
IND,2016-01-15 23:54,270.00,19.55
IND,2016-01-16 00:30,260.00,21.85
IND,2016-01-16 00:37,270.00,20.70
IND,2016-01-16 00:54,270.00,17.25
IND,2016-01-16 01:54,280.00,14.95
IND,2016-01-16 02:09,270.00,19.55
IND,2016-01-16 02:54,280.00,19.55
IND,2016-01-16 03:30,280.00,20.70
IND,2016-01-16 03:54,270.00,12.65
IND,2016-01-16 04:17,280.00,17.25
IND,2016-01-16 04:28,290.00,14.95
IND,2016-01-16 04:54,290.00,12.65
IND,2016-01-16 05:54,280.00,14.95
IND,2016-01-16 06:54,280.00,14.95
IND,2016-01-16 07:54,290.00,16.10
IND,2016-01-16 08:23,280.00,13.80
IND,2016-01-16 08:54,260.00,10.35
IND,2016-01-16 09:54,270.00,11.50
IND,2016-01-16 10:54,270.00,12.65
IND,2016-01-16 11:54,270.00,13.80
IND,2016-01-16 12:54,280.00,11.50
IND,2016-01-16 13:28,300.00,13.80
IND,2016-01-16 13:54,290.00,11.50
IND,2016-01-16 14:36,290.00,12.65
IND,2016-01-16 14:54,300.00,10.35
IND,2016-01-16 15:06,290.00,10.35
IND,2016-01-16 15:49,290.00,10.35
IND,2016-01-16 15:54,290.00,10.35
IND,2016-01-16 16:54,290.00,10.35
IND,2016-01-16 17:54,280.00,11.50
IND,2016-01-16 18:54,280.00,11.50
IND,2016-01-16 19:54,270.00,12.65
IND,2016-01-16 20:54,280.00,12.65
IND,2016-01-16 21:54,300.00,10.35
IND,2016-01-16 22:54,270.00,6.90
IND,2016-01-16 23:54,260.00,12.65
IND,2016-01-17 00:54,280.00,9.20
IND,2016-01-17 01:24,280.00,9.20
