station,valid,sped
BOS,2021-01-15 05:54,6.90
BOS,2021-01-15 06:25,6.90
BOS,2021-01-15 06:54,6.90
BOS,2021-01-15 08:54,6.90
BOS,2021-01-15 09:33,3.45
BOS,2021-01-15 09:54,5.75
BOS,2021-01-15 10:54,4.60
BOS,2021-01-15 11:54,5.75
BOS,2021-01-15 12:54,5.75
BOS,2021-01-15 13:54,6.90
BOS,2021-01-15 14:54,9.20
BOS,2021-01-15 15:54,10.35
BOS,2021-01-15 16:54,9.20
BOS,2021-01-15 17:54,10.35
BOS,2021-01-15 18:54,12.65
BOS,2021-01-15 19:54,10.35
BOS,2021-01-15 20:54,11.50
BOS,2021-01-15 21:54,11.50
BOS,2021-01-15 22:54,10.35
BOS,2021-01-15 23:54,8.05
BOS,2021-01-16 00:14,6.90
BOS,2021-01-16 00:54,4.60
BOS,2021-01-16 01:54,9.20
BOS,2021-01-16 02:54,6.90
BOS,2021-01-16 03:33,5.75
BOS,2021-01-16 03:46,5.75
BOS,2021-01-16 03:54,4.60
BOS,2021-01-16 04:54,12.65
BOS,2021-01-16 05:16,13.80
BOS,2021-01-16 05:35,14.95
BOS,2021-01-16 05:54,18.40
BOS,2021-01-16 06:34,9.20
BOS,2021-01-16 06:54,10.35
BOS,2021-01-16 07:54,10.35
BOS,2021-01-16 08:42,11.50
BOS,2021-01-16 08:54,13.80
BOS,2021-01-16 09:39,18.40
BOS,2021-01-16 09:54,17.25
BOS,2021-01-16 10:13,18.40
BOS,2021-01-16 10:54,21.85
BOS,2021-01-16 11:24,24.15
BOS,2021-01-16 11:38,26.45
BOS,2021-01-16 11:54,27.60
BOS,2021-01-16 12:19,28.75
BOS,2021-01-16 12:49,33.35
BOS,2021-01-16 12:54,32.20
BOS,2021-01-16 13:54,35.65
BOS,2021-01-16 14:28,31.05
BOS,2021-01-16 14:54,28.75
BOS,2021-01-16 15:21,29.90
BOS,2021-01-16 15:54,32.20
BOS,2021-01-16 16:54,21.85
BOS,2021-01-16 17:54,5.75
BOS,2021-01-16 18:06,4.60
BOS,2021-01-16 18:08,5.75
BOS,2021-01-16 18:22,3.45
BOS,2021-01-16 18:54,10.35
BOS,2021-01-16 19:54,18.40
BOS,2021-01-16 20:06,14.95
BOS,2021-01-16 20:54,16.10
BOS,2021-01-16 21:54,16.10
BOS,2021-01-16 22:39,18.40
BOS,2021-01-16 22:54,12.65
BOS,2021-01-16 23:54,14.95
BOS,2021-01-17 00:54,14.95
BOS,2021-01-17 01:52,16.10
BOS,2021-01-17 01:54,17.25
BOS,2021-01-17 02:54,16.10
BOS,2021-01-17 03:54,17.25
